chunk_id,source_file,chunk_index,chunk_text
1,coursera.pdf,0,"1 coursera, inc. code of business conduct and ethics introduction it is the general policy of coursera, inc. (together, with its subsidiaries, the “ company”) to conduct its business activities and transactions with the highest level of integrity and ethical standards and in accordance with all applicable laws. in carrying out this policy, the company has adopted the following code of business conduct and ethics (this “ code”). in addition to being bound by any other codes, policies, and pro ced"
2,coursera.pdf,1,"ng bound by any other codes, policies, and pro cedures of the company, all of the employees of the company are subject to the following additional specific policies contained in this code. this code covers a wide range of business practices and proce dures. it does not cover every issue that may arise, but it sets out basic principl es to guide all employees, officers, and directors of the company and its subsidiaries. those persons designated as the company’s senior financial officers in the co"
3,coursera.pdf,2," the company’s senior financial officers in the code of ethics for senior financial offi cers shall also be required to comply with the provisions thereof. all such persons must conduct th emselves accordingly and seek to avoid even the appearance of improper be havior. those who violate the standards in this code or who fail to cooperate w ith management directions given to effect compliance with this code may be subject to disciplinary action, possibly including termination of employment. if y"
4,coursera.pdf,3,"possibly including termination of employment. if you have any questions regarding this code , you should address these questions to your supervisor or to the general counsel, chief fi nancial officer or chief people officer of the company. certain obligations in this code are also addressed in company handbooks, plans, and policies, and you are expected to comply with all such handbooks and policies. in the event of any conflict between this code and any othe r policy of the company, the more st"
5,coursera.pdf,4," and any othe r policy of the company, the more stringent requirement shall apply. basic principles and practices compliance with laws, rules, and regulations company policy requires that our bu siness activities comply with both the letter and the spirit of all applicable laws, rules, and regulations. a lthough not all employees are expected to know the details of these laws, it is im portant to know enough to determin e when to seek advice from supervisors, managers, or other appropriate perso"
6,coursera.pdf,5," supervisors, managers, or other appropriate personnel. confidentiality employees who come into possession of non-public information regarding the company or any other companies as to which the employee receives information not available to investors generally must safeguard the in formation from the public and not intentionally or inadvertently communicate it to any person (including family members and friends) unless the person has a need to know the information for legitimate , company-relate"
7,coursera.pdf,6,"ow the information for legitimate , company-related reasons. this duty of confidentiality is important both as to the comp any’s competitive position and with respect to the securities laws applicable to the compa ny as a public company. confidential information cannot be disclosed by any empl oyee to any third party unless the third party has signed a 2 nondisclosure agreement approved by the company’s management, and should be divulged only to persons having a need to know the information in o"
8,coursera.pdf,7,"persons having a need to know the information in order to carry out their job responsibilities. further, you may not use any confidential information other than for legitimate, company- related reasons. you must also abide by any specific agreements, such as a proprietary information and inventions agre ement and company policies regarding confidentiality between you and the company. consistent with the foregoing, all employees shoul d be discreet with re spect to confidential information about "
9,coursera.pdf,8,"t with re spect to confidential information about the company or any other companies as to which the employee receives information not available to investors generally and not discuss it in public places. confidential information related to the comp any or any other compan ies as to which the employee receives information not available to investors genera lly can include a variety of materials and information regarding the ongoi ng operations and plans of the company, and also includes informati"
10,coursera.pdf,9," plans of the company, and also includes information that custom ers, partners, or vendors have provided to us. for example, confidential information can incl ude facility or product developm ent plans, patents, significant new contracts, information rega rding the financial health and performance of the company or other companies, salary and personnel informat ion, plans regarding significant acquisitions or divestitures, plans to raise additional capital, and marketing and sales plans. conflic"
11,coursera.pdf,10,"al capital, and marketing and sales plans. conflicts of interest a “conflict of interest” arises when a person’s loyalties or actions are divided between the interests of the company and those of another, such as a competitor, supplier, customer, or personal business. a conflict of interest can arise when an employee takes actions or has interests that may make it difficult to perform his or her work for the company objectively and effectively. a conflict of interest may also arise when an indiv"
12,coursera.pdf,11," conflict of interest may also arise when an individual, or a member of his or her family, receives an improper pers onal benefit as a result of his or her position in, or relationship with, the company. a breach of c onfidentiality obligations can also give rise to a conflict of interest. moreover, the appearance of a confli ct of interest alone can adversely affect the company and its relations with customers, suppliers, and employees. employees are expected to use good judgment, to a dhere to"
13,coursera.pdf,12,"s are expected to use good judgment, to a dhere to high ethical st andards, and to avoid situations that create an actual or potential conflict of interest. it is al most always a conflict of interest for employees to work simultaneously for a competitor, customer, or supplier. a conflict of interest can also arise with resp ect to employment of re latives and persons with close personal relationships. if an employee or someone with whom an employee has a close relationship (e.g., a family membe"
14,coursera.pdf,13,"yee has a close relationship (e.g., a family member or close companion) has a financial or employment relationship with an actual or potential competitor, supplier, or customer, the employee must disclose this fact in writing to the general c ounsel, chief financial officer, and chief people officer of the company. the company may take any action that it deems necessary in its sole discretion to avoid or remedy an act ual, prospective or perceived c onflict of interest, including a reassignment "
15,coursera.pdf,14,"d c onflict of interest, including a reassignment of some or all of the employee’s duties or change of the employee’s position. a conflict of interest may not always be clear, therefore, you should consult with higher levels of management if you have any quest ions. any employee who become s aware of a conflict or a 3 potential conflict should bring it to the attention of the ge neral counsel, chief financial officer or chief people officer of the company. corporate opportunities you must not ta"
16,coursera.pdf,15,"e company. corporate opportunities you must not take for yourself personally opport unities that are discover ed through the use of company property or confidentia l information or your position with the company without the consent of the board of directors (the “ board”) or its designees. no employee may use corporate property, information, or their position for improper personal gain, and no employee may compete with the company directly or indir ectly while they are employed by the company. y"
17,coursera.pdf,16,"ir ectly while they are employed by the company. you owe a duty to the company to advance its legitimate interests when the opportunity to do so arises. fair dealing although the prosperity of our company depends on our ability to outpe rform our competitors, the company is committed to achieving success by fair and ethical means. we seek to maintain a reputation for honesty and fair d ealing among our competitors and the public al ike. in light of this aim, dishonest, unethical, or illegal busi"
18,coursera.pdf,17,"of this aim, dishonest, unethical, or illegal business pr actices are prohibite d, including, without limitation, corruption, bribery, kickb acks, extortion, embezzlement, or other similar practices. an exhaustive list of unethical practices cannot be provided. instead, the company relies on the judgment of each individual to avoid such pr actices. furthermore, each employee should endeavor to deal fairly with the company’s cu stomers, suppliers, compet itors, and employees. no employee should t"
