chunk_id,source_file,chunk_index,chunk_text
1,gemini.pdf,0,"model card updated june 27, 2025 gemini 2.5 pro model card model cards are intended to provide essential information on gemini models, including known limitations, mitigation approaches, and safety performance. model cards may be updated from time-to-time; for example, to include updated evaluations as the model is improved or revised. technical reports are similar to academic papers, and describe models’ capabilities, limitations and performance benchmarks. the gemini 2.5 technical report conta"
2,gemini.pdf,1," benchmarks. the gemini 2.5 technical report contains additional details about the gemini 2.5 series of models. we recommend that readers seeking more details and information about these models navigate to the technical report. last updated: june 27, 2025 model information description : gemini 2.5 pro is the next iteration in the gemini 2.0 series of models, a suite of highly-capable, natively multimodal, reasoning models. as google’s most advanced model for complex tasks, gemini 2.5 pro can com"
3,gemini.pdf,2,"ed model for complex tasks, gemini 2.5 pro can comprehend vast datasets and challenging problems from diﬀerent information sources, including text, audio, images, video, and even entire code repositories. this model card has been updated to contain information for gemini 2.5 pro ga, in addition to gemini 2.5 pro experimental (03-25) and gemini 2.5 pro preview (05-06) and to reﬂect that gemini 2.5 pro’s deployment status is now “general availability.” 1 inputs: text strings (e.g., a question, a p"
4,gemini.pdf,3,"ty.” 1 inputs: text strings (e.g., a question, a prompt, document(s) to be summarized), images, audio, and video ﬁles, with a 1m token context window. outputs : text, with a 64k token output. architecture : the gemini 2.5 models are sparse mixture-of-experts (moe) (clark et al., 2022; du et al., 2021; fedus et al., 2021; jiang et al., 2024, lepikhin et al., 2020; riquelme et al., 2021; roller et al., 2021; shazeer et al., 2017; transformers (vaswani et al., 2017) with native multimodal support f"
5,gemini.pdf,4,"ani et al., 2017) with native multimodal support for text, vision, and audio inputs. sparse moe models activate a subset of model parameters per input token by learning to dynamically route tokens to a subset of parameters (experts); this allows them to decouple total model capacity from computation and serving cost per token. developments to the model architecture contribute to the signiﬁcantly improved performance of gemini 2.5 compared to gemini 1.5 pro (see section 3 of the gemini technical "
6,gemini.pdf,5,"ni 1.5 pro (see section 3 of the gemini technical report). 1 we’ve updated the naming convention throughout this model card to reﬂect that gemini 2.5 pro is generally available and to clearly diﬀerentiate between diﬀerent gemini 2.5 pro versions. model data training dataset: the pre-training dataset was a large-scale, diverse collection of data encompassing a wide range of domains and modalities, which included publicly-available web-documents, code (various programming languages), images, audio"
7,gemini.pdf,6,"ode (various programming languages), images, audio (including speech and other audio types) and video. the post-training dataset consisted of vetted instruction tuning data and was a collection of multimodal data with paired instructions and responses in addition to human preference and tool-use data. training data processing: data ﬁltering and preprocessing included techniques such as deduplication, safety ﬁltering in line with google's commitment to advancing ai safely and responsibly and qual"
8,gemini.pdf,7,"nt to advancing ai safely and responsibly and quality ﬁltering to mitigate risks and improve training data reliability. implementation and sustainability hardware: gemini 2.5 pro was trained using google’s tensor processing units (tpus). tpus are speciﬁcally designed to handle the massive computations involved in training llms and can speed up training considerably compared to cpus. tpus often come with large amounts of high-bandwidth memory, allowing for the handling of large models and batch s"
9,gemini.pdf,8,"owing for the handling of large models and batch sizes during training, which can lead to better model quality. tpu pods (large clusters of tpus) also provide a scalable solution for handling the growing complexity of large foundation models. training can be distributed across multiple tpu devices for faster and more eﬃcient processing. the eﬃciencies gained through the use of tpus are aligned with google's commitment to operate sustainably. software: training was done using jax and ml pathways."
10,gemini.pdf,9,"ware: training was done using jax and ml pathways. evaluation approach : gemini 2.5 pro was evaluated against the performance benchmarks detailed below: ● gemini results : all gemini 2.5 were pass @1. “single attempt” settings allow no majority voting or parallel test-time compute; “multiple attempts” settings allow test-time selection of the candidate answer. they were all run with the ai studio api for the model-id gemini-2.5-pro-preview-06-05, model-id gemini-2.5-pro-preview-05-06 and the mod"
11,gemini.pdf,10," model-id gemini-2.5-pro-preview-05-06 and the model-id gemini-2.5-pro-exp-03-25 with default sampling settings. to reduce variance, we averaged over multiple trials for smaller benchmarks. adier polyglot score is the pass rate average of 3 trials. vibe-eval results were reported using gemini as a judge. ● non-gemini results : all the results for non-gemini models were sourced from providers' self-reported numbers unless mentioned otherwise below. all swe-bench veriﬁed numbers followed oﬃcial pr"
12,gemini.pdf,11,". all swe-bench veriﬁed numbers followed oﬃcial provider reports, using diﬀerent scaﬀolding and infrastructure. google's scaﬀolding for ""multiple attempts” for swe-bench includes drawing multiple trajectories and re-scoring them using the model's own judgement. ● thinking vs not-thinking : for claude 4 opus results are reported for the reasoning model where available (hle, lcb, aider). for claude 4 sonnet, pqa, aime 2024, mmmu come with 64k extended thinking, aider with 32k, and hle with 16k. re"
