"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Simple Family Members,Simple Family Member Jurisdictions,Extended Family Size,Extended Family Members,Extended Family Member Jurisdictions,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,B2,US 10903536 B2,107-368-569-270-191,2021-01-26,2021,US 201616081417 A,2016-04-25,SE 2016050359 W,2016-04-25,Battery and a battery thermal arrangement,"A battery and battery thermal arrangement are provided. The battery comprises one or more battery blocks and a thermal insert configured adjacent to a first battery block or between two battery blocks, including the first battery block and a second battery block, the thermal insert comprising a channel for allowing a thermal medium flowing through the thermal insert, the thermal insert being in physical contact with at least a part of a side of the first battery block when filled with the thermal medium, the thermal insert further comprising an inlet and an outlet connectable to a circulation device for pumping the thermal medium through the thermal insert.",ERICSSON TELEFON AB L M,JARAHNEJAD MARIAM;;HEDBERG KLAS;;SKOGLUND STEFAN;;GUSTAFSSON DAVID;;KENNEBERG ALEXANDRA,TELEFONAKTIEBOLAGET LM ERICSSON (PUBL) (2016-04-27),https://lens.org/107-368-569-270-191,Granted Patent,yes,9,1,4,191-763-691-485-643;;139-365-034-520-884;;107-368-569-270-191;;050-998-394-504-434,US;;EP;;WO,4,191-763-691-485-643;;139-365-034-520-884;;107-368-569-270-191;;050-998-394-504-434,US;;EP;;WO,0,H01M10/6557;;H01M10/613;;Y02E60/10;;H01M10/6557;;H01M10/613,H01M10/613;;H01M10/6557,,3,0,,,"International Search Report and Written Opinion for Application No. PCT/SE2016/050359, dated Jun. 23, 2016, 11 pages.;;“Generic Requirements for Electronic Equipment Cabinets (A module of FR-Reliability-Quality-01),” Jan. 3, 2013, 142 pages, Issue 4, Telcordia Technologies Generic Requirements GR-487-CORE (TTF Final Draft), Telcordia Technologies, Inc.;;“Safety requirements for secondary batteries and battery installations—Part 2: Stationary batteries,” Jun. 2010, 80 pages, Edition 1.0, International Standard, International Electrotechnical Commission, IEC 62485-2.",ACTIVE
2,US,B2,US 11784299 B2,022-202-245-838-930,2023-10-10,2023,US 201917053011 A,2019-10-14,KR 20190053268 A;;KR 20190053269 A;;KR 20190053270 A;;KR 2019013412 W,2019-05-07,"Anode for thermal battery, apparatus for manufacturing the anode for thermal battery, and method of manufacturing the anode for thermal battery","A lithium anode of a thermal battery may include a metal alloy foam in which a plurality of pores is formed and including nickel (Ni), iron (Fe), chromium (Cr), and aluminum (Al) mixed in a predetermined composition ratio, and lithium impregnated into the metal alloy foam in a molten state and accommodated in the pores, wherein the chromium in the composition ratio may facilitate the impregnation of the lithium into the pores and reduce the reactivity of the metal alloy foam to the lithium at an operating temperature of the thermal battery, and the aluminum in the composition ratio may facilitate the impregnation of the lithium into the pores and prevent the lithium from penetrating into a surface of the metal alloy foam.",AGENCY DEFENSE DEV,CHOI YU SONG;;AHN TAE YOUNG;;CHO JANG HYEON,AGENCY FOR DEFENSE DEVELOPMENT (2020-10-20),https://lens.org/022-202-245-838-930,Granted Patent,yes,21,0,4,022-202-245-838-930;;126-200-043-260-589;;055-981-855-734-963;;051-930-859-189-24X,US;;WO,9,130-787-311-133-130;;126-200-043-260-589;;055-981-855-734-963;;170-295-909-989-89X;;022-202-245-838-930;;174-588-109-354-970;;029-932-725-019-474;;014-317-503-634-747;;051-930-859-189-24X,US;;KR;;WO,0,H01M4/808;;H01M4/08;;H01M4/38;;H01M6/36;;Y02E60/10;;H01M4/12;;H01M4/10;;H01M6/36,H01M4/12;;H01M4/10;;H01M6/36,,13,0,,,"Seong (translation) (Year: 2019).;;Kumar (numbered) (Year: 2012).;;Song (numbered) (Year: 2016).;;International Search Report for PCT/KR2019/013412 dated Feb. 6, 2020 and its English translation by Google Translate.;;Written Opinion of the International Searching Authority for PCT/KR2019/013412 dated Feb. 6, 2020 and its English translation by Google Translate.;;Notice of Allowance dated Jan. 3, 2020 for Korean Patent Application No. 10-2019-0053268 and its English translation by Google Translate.;;Office Action dated Jul. 5, 2019 for Korean Patent Application No. 10-2019-0053268 and its English translation by Google Translate.;;Notice of Allowance dated Nov. 11, 2019 for Korean Patent Application No. 10-2019-0053269 and its English translation by Google Translate.;;Office Action dated Jul. 5, 2019 for Korean Patent Application No. 10-2019-0053269 and its English translation by Google Translate.;;Notice of Allowance dated Jan. 3, 2020 for Korean Patent Application No. 10-2019-0053270 and its English translation by Google Translate.;;Office Action dated Jul. 5, 2019 for Korean Patent Application No. 10-2019-0053270 and its English translation by Google Translate.;;Notice of Allowance dated August 26, 2020 for Korean Patent Application No. 10-2020-0025523 and its English translation by Google Translate.;;Office Action dated April 14, 2020 for Korean Patent Application No. 10-2020-0025523 and its English translation by Google Translate.",ACTIVE
3,US,B2,US 11002483 B2,167-137-454-681-028,2021-05-11,2021,US 201816134646 A,2018-09-18,KR 20170121702 A;;KR 20170121703 A,2017-09-21,Battery thermal treatment apparatus and method for battery thermal treatment,"a method for battery thermal treatment and performing dust collection of thermal treatment gas, including, cooling and performing dust collection of gas generated during thermal treatment of a battery, which is transferred and in one direction through a closed tube, thermally treated at a temperature ranging from 400° C. to 1000° C., and discharged.",SUNGEEL HITECH CO LTD,LEE KWANG-BUM;;BYUN SUK-HYUN;;YI KANG-MYUNG;;JEONG CHEOL-WEON;;JANG SUN-WOO,SUNGEEL HITECH CO. LTD (2018-09-03),https://lens.org/167-137-454-681-028,Granted Patent,yes,9,0,7,159-905-373-916-103;;172-977-576-881-469;;193-929-647-361-272;;158-511-168-574-126;;100-657-311-591-648;;167-137-454-681-028;;002-337-988-574-844,US;;EP;;ES;;HU;;PL,9,159-905-373-916-103;;141-083-510-406-350;;172-977-576-881-469;;118-359-476-212-704;;193-929-647-361-272;;158-511-168-574-126;;100-657-311-591-648;;167-137-454-681-028;;002-337-988-574-844,US;;EP;;ES;;HU;;PL;;KR,0,F27B7/38;;F23G5/006;;F23G2900/7007;;Y02W30/84;;F27B7/38;;F23G5/006;;F23G2900/7007;;H01M10/54,F27B7/38;;F23G5/00;;H01M10/54,,2,0,,,"JPS61-61687—machine translation (Year: 1986).;;Extended European Search Report for Application No. EP 18 19 5855, dated Jan. 22, 2019, 8 pages.",ACTIVE
4,US,B2,US 11942611 B2,059-945-577-820-868,2024-03-26,2024,US 202016824637 A,2020-03-19,US 202016824637 A;;US 201962821287 P,2019-03-20,Thermal regulation of batteries,"A battery thermal management system for an air vehicle includes a liquid heat exchange circuit, an air heat exchange circuit in selective fluid communication with ram air, a liquid-air heat exchanger positioned on the liquid heat exchange circuit and the air heat exchange circuit to exchange heat therebetween. The system includes at least one battery in thermal communication with the liquid heat exchange circuit. The at least one battery is configured to charge and/or discharge to heat the at least one battery above a pre-determined minimum battery temperature. A method for controlling a thermal management system for an air vehicle includes determining if at least one battery is within a thermal range of operation for heating. The method includes charging and/or discharging the at least one battery to heat the at least one battery if the at least one battery is within the thermal range of operation for heating.",HAMILTON SUNDSTRAND CORP,RHEAUME JONATHAN,HAMILTON SUNDSTRAND CORPORATION (2019-03-20),https://lens.org/059-945-577-820-868,Granted Patent,yes,17,0,4,142-682-384-761-685;;104-363-665-163-570;;059-945-577-820-868;;118-534-318-391-255,US;;EP,4,142-682-384-761-685;;104-363-665-163-570;;118-534-318-391-255;;059-945-577-820-868,US;;EP,0,H01M10/613;;H01M10/615;;H01M10/625;;H01M10/63;;H01M10/6568;;H01M10/6562;;H01M10/637;;H01M10/6571;;H01M10/443;;H01M10/486;;H01M2220/20;;B64D2013/0629;;B64D2013/0674;;B64D41/00;;Y02E60/10;;H01M10/625;;H01M10/63;;H02J7/007194;;H02J7/0048;;B64D33/08;;H01M10/443;;H01M2220/20;;H01M10/486,H01M10/44;;B64D33/08;;H01M10/48;;H01M10/625;;H01M10/63;;H02J7/00,,2,0,,,"Machine-translation of CN 206961980, Jinglong, “Electric Bus Battery Thermal Management Device”, Feb. 2, 2018.;;Extended European Search Report dated Sep. 8, 2020, issued during the prosecution of European Patent Application No. EP 20164214.7.",ACTIVE
5,US,B2,US 11709024 B2,191-663-063-381-968,2023-07-25,2023,US 202017612494 A,2020-06-12,NO 20190723 A;;NO 20190853 A;;NO 2020050159 W,2019-06-12,Thermal energy battery,"Thermal energy battery, comprising: an evaporator-condenser thermal energy storage (ec-TES), with an end for vapor and an end for liquid, comprising one-phase stationary material storing at least 70% of the thermal energy stored within the ec-TES, a storage tank for vapor and liquid (ST), with a vapor part at a higher elevation and a liquid part at a lower elevation, a vapor line, arranged to the vapor end of the ec-TES, for inlet and outlet of vapor, a liquid line arranged between the liquid end of the ec-TES and the liquid part of the ST, a tank vapor line arranged from the vapor part of the ST to the vapor line or the vapor end of the ec-TES, and an evaporation control valve (CV6) in the tank vapor line.",ENERGYNEST AS,SKOTTENE MARTIN;;GREINER CHRISTOPHER;;BERGAN PÅL G;;HØIVIK NILS,ENERGYNEST AS (2021-11-23),https://lens.org/191-663-063-381-968,Granted Patent,yes,16,0,9,093-374-558-487-584;;111-492-187-112-393;;176-889-438-793-263;;019-916-481-970-665;;190-727-827-638-908;;191-663-063-381-968;;186-198-940-456-801;;161-313-394-162-307;;190-525-151-463-830,US;;EP;;CN;;MA;;WO;;AU,11,105-934-084-805-443;;111-492-187-112-393;;176-889-438-793-263;;019-916-481-970-665;;190-727-827-638-908;;191-663-063-381-968;;186-198-940-456-801;;190-525-151-463-830;;093-374-558-487-584;;161-313-394-162-307;;139-366-166-471-732,US;;EP;;CN;;NO;;MA;;WO;;AU,0,F01K1/12;;F01K1/10;;Y02E60/14;;F28D2020/0082;;F28D20/02;;F28D20/028;;F28D20/0056;;F01K1/10;;F01K1/12;;F28D20/0056;;F28D20/028;;F28D2020/0082,F28D20/02;;F01K1/10;;F01K1/12;;F28D20/00,,0,0,,,,ACTIVE
6,US,B2,US 11152653 B2,068-271-336-414-728,2021-10-19,2021,US 201916392070 A,2019-04-23,US 201916392070 A,2019-04-23,Battery thermal management,"A system and method for managing thermal energy of a vehicle having a battery and an electric propulsion system are provided. The system monitors a current battery temperature, calculates an actual average battery temperature, and compares the calculated actual average battery temperature to a target lifetime battery temperature. If the actual average battery temperature is greater than the target lifetime battery temperature, and the current battery temperature is greater than the target lifetime battery temperature, the system cools the battery to below the current battery temperature. However, if the actual average battery temperature is less than the target lifetime battery temperature, and the current battery temperature is greater than the target lifetime battery temperature, the system delays cooling the battery. Therefore, the system may avoid expending energy to cool the battery in certain conditions.",GM GLOBAL TECH OPERATIONS LLC,CARLSON MICHAEL H;;GONZE EUGENE V;;ZIEHR LAWRENCE P;;GOESON TANNER E;;HOLIHAN KYLE;;SMITH CAMERON;;BILANCIA MICHELE,GM GLOBAL TECHNOLOGY OPERATIONS LLC (2019-04-18),https://lens.org/068-271-336-414-728,Granted Patent,yes,1,8,5,068-271-336-414-728;;111-658-182-906-730;;137-815-618-912-18X;;054-726-368-020-619;;071-041-550-344-294,US;;DE;;CN,5,068-271-336-414-728;;111-658-182-906-730;;137-815-618-912-18X;;054-726-368-020-619;;071-041-550-344-294,US;;DE;;CN,0,H01M10/613;;H01M10/625;;H01M10/635;;H01M10/633;;B60L58/26;;H01M10/486;;B60L58/26;;B60K2001/005;;Y02E60/10;;H01M2220/20;;H01M10/486;;H01M10/613;;H01M10/625;;B60K11/02;;B60K1/00;;B60K2001/003;;Y02T10/70;;H01M10/613;;H01M10/486;;H01M2220/20;;B60L58/26;;H01M10/625,H01M6/34;;B60L58/26;;H01M10/48;;H01M10/613;;H01M10/625,,0,0,,,,ACTIVE
7,US,B2,US 11990597 B2,020-719-163-132-140,2024-05-21,2024,US 202016824619 A,2020-03-19,US 202016824619 A;;US 201962821278 P,2019-03-20,Thermal regulation of batteries,"A battery thermal management system for an air vehicle includes a liquid heat exchange circuit, an air heat exchange circuit, and a liquid-air heat exchanger. The liquid-air heat exchanger is positioned on the liquid heat exchange circuit and the air heat exchange circuit to exchange heat therebetween. The system includes a coolant pump fluidically connected to the liquid heat exchange circuit, a flow restrictor positioned in the liquid heat exchange circuit, and a battery in thermal communication with the liquid heat exchange circuit. A method for controlling a thermal management system for an air vehicle includes sensing a temperature of a battery with a temperature sensor, varying a flow area of a flow path through a liquid heat exchange circuit with the flow restrictor if the temperature is below a pre-determined threshold, and operating a pump to provide heating to the battery if the temperature is below the pre-determined threshold.",HAMILTON SUNDSTRAND CORP,RHEAUME JONATHAN,HAMILTON SUNDSTRAND CORPORATION (2019-03-20),https://lens.org/020-719-163-132-140,Granted Patent,yes,22,1,3,020-719-163-132-140;;040-520-966-879-261;;143-444-125-751-207,US;;EP,3,020-719-163-132-140;;040-520-966-879-261;;143-444-125-751-207,US;;EP,0,H01M10/613;;H01M10/615;;B64D41/00;;H01M10/625;;H01M10/63;;H01M10/6568;;H01M10/6563;;H01M10/486;;H01M2220/20;;B64D2013/0674;;B64D2013/0629;;Y02E60/10;;H01M10/613;;H01M10/615;;H01M10/625;;H01M10/63;;H01M10/6561;;H01M10/6568;;H01M10/486,H01M10/6568;;H01M10/18;;H01M10/48;;H01M10/613;;H01M10/615;;H01M10/625;;H01M10/63;;H01M10/6561,,3,0,,,"Machine Translation of CN-110474129-A (Aug. 14, 2023) (Year: 2023).;;Extended European Search Report dated Sep. 8, 2020, issued during the prosecution of European Patent Application No. EP 20163952.3.;;Communication Pursuant to Art 94(3) EPC dated Feb. 8, 2023, issued during the prosecution of European Patent Application No. EP 20163952.3, 4 pages.",ACTIVE
8,US,B2,US 10953726 B2,076-471-027-446-247,2021-03-23,2021,US 201916392077 A,2019-04-23,US 201916392077 A,2019-04-23,Battery thermal management,"A method for managing thermal energy of a vehicle having a battery and an electric propulsion system is provided. The system monitors a current battery temperature, after the vehicle is connected to an outside power source at a plug time, and determines an outside air temperature. The system predicts a cabin heating temperature for a subsequent drive cycle. The subsequent drive cycle occurs when the vehicle is no longer connected to the outside power source. If the predicted cabin heating temperature is greater than the outside air temperature, the system heats the battery to a thermal storage temperature that is greater than a target operating temperature of the battery. Therefore, thermal energy is stored within the battery, and may be transferred to heat the cabin.",GM GLOBAL TECH OPERATIONS LLC,CARLSON MICHAEL H;;GONZE EUGENE V;;ZIEHR LAWRENCE P;;GOESON TANNER E;;HOLIHAN KYLE;;SMITH CAMERON;;BILANCIA MICHELE,GM GLOBAL TECHNOLOGY OPERATIONS LLC (2019-04-18),https://lens.org/076-471-027-446-247,Granted Patent,yes,19,9,6,076-471-027-446-247;;010-150-746-173-917;;155-295-662-352-921;;168-185-791-461-619;;056-663-033-035-736;;178-298-576-052-859,US;;DE;;CN,6,010-150-746-173-917;;076-471-027-446-247;;178-298-576-052-859;;155-295-662-352-921;;056-663-033-035-736;;168-185-791-461-619,US;;DE;;CN,0,B60L58/27;;B60H1/04;;H01M10/615;;H01M10/625;;H01M10/635;;H01M10/633;;H01M10/6571;;H01M10/443;;B60H1/00499;;B60H1/00392;;B60H1/00921;;B60H1/00278;;B60H2001/00307;;Y02E60/10;;Y02T10/70;;Y02T10/7072;;Y02T90/14;;B60L58/25;;B60L1/02;;B60L2270/44;;H01M10/625;;H01M2220/20;;H01M10/486;;H01M10/635;;H01M10/615;;H01M10/44;;H01M10/6571;;H01M10/633;;B60H1/143;;B60L58/27;;B60L53/14;;H01M2220/20;;H01M10/443;;B60L2240/545;;B60L2270/44;;H01M10/635,B60L9/00;;B60H1/14;;B60L9/16;;B60L53/14;;B60L58/27;;H01M10/44;;H01M10/635,,0,0,,,,ACTIVE
9,US,B1,US 10236134 B1,051-490-271-491-062,2019-03-19,2019,US 201514632892 A,2015-02-26,US 201514632892 A,2015-02-26,Battery thermal shield,"A battery thermal shield is used with a battery to reduce peak temperature exposure caused by a short of a battery from physical damage to the battery (e.g., the battery being pierced by a metal object). The thermal shield may be a highly thermal-conductive substance, such as a film, adhesive, gel, and/or other substance, that acts as an efficient heat spreader. Unlike a typical heat sink or heat fins, the thermal shield may have a low profile and be configured to spread a rapid onset of heat at a localized point or area (e.g., a location of an internal short) to a wider area to reduce a peak (maximum) temperature caused by a short of a battery. The thermal shield may be at least partially formed of graphite which may be adhered to the battery.",AMAZON TECH INC,NACHMAN RAMEZ;;SRINIVAS VIKRAM;;LIM JAMES ROBERT;;TANG PATRICK JEE;;WYNNE DAWNELLE IVY,AMAZON TECHNOLOGIES INC (2017-04-18),https://lens.org/051-490-271-491-062,Granted Patent,yes,6,6,1,051-490-271-491-062,US,1,051-490-271-491-062,US,0,H01G11/18;;H01M10/0525;;H01M10/613;;H01M10/617;;H01M10/623;;H01M10/647;;H01M10/653;;H01M10/655;;H01M10/658;;H01M50/202;;H01M2220/30;;Y02E60/10;;H01G11/18;;H01M10/0525;;H01M10/613;;H01M10/617;;H01M10/623;;H01M10/647;;H01M10/653;;H01M10/655;;H01M10/6551;;H01M10/658;;H01M50/202;;H01M2220/30,H01G11/18;;H01M10/0525;;H01M10/62;;H01M10/623;;H01M10/65;;H01M10/6551;;H01M50/202,,0,0,,,,ACTIVE
10,US,B2,US 11749851 B2,098-469-452-513-426,2023-09-05,2023,US 201916449146 A,2019-06-21,US 201916449146 A;;US 201962821297 P,2019-03-20,Thermal regulation of batteries,"A battery thermal management system for an air vehicle includes a first heat exchange circuit, a battery in thermal communication with the first heat exchange circuit, and a heat exchanger positioned on the first heat exchange circuit. The heat exchanger is operatively connected to a second heat exchange circuit. The system includes a controller operatively connected to the second heat exchange circuit. The controller is configured to variably select whether heat will be rejected to the second heat exchange circuit. A method for controlling a thermal management system for an air vehicle includes determining an expected fluid temperature of fluid in a fluid heat exchange circuit. The method includes commanding a flow restrictor at least partially closed or commanding the flow restrictor at least partially open.",HAMILTON SUNDSTRAND CORP,MACDONALD MALCOLM;;LENTS CHARLES E,HAMILTON SUNDSTRAND CORPORATION (2019-06-21),https://lens.org/098-469-452-513-426,Granted Patent,yes,21,1,3,120-338-866-956-185;;098-469-452-513-426;;036-625-708-362-178,US;;EP,7,036-625-708-362-178;;120-338-866-956-185;;078-681-137-405-17X;;021-596-891-499-839;;098-469-452-513-426;;035-880-993-985-973;;101-473-884-045-02X,US;;EP,0,B64D13/00;;B64D41/00;;H01M10/613;;H01M10/625;;H01M10/6556;;H01M10/6563;;H01M10/6568;;H01M10/66;;H01M10/63;;H01M10/486;;H01M10/6565;;H01M2220/20;;H01M10/443;;H01M10/635;;B64D33/08;;B64D2013/0644;;B64D2013/0674;;B64D2013/0614;;Y02E60/10;;Y02T50/60;;Y02T50/50;;B64U50/19;;B64D27/33;;B64D27/34;;B64D27/357;;H01M10/613;;H01M10/625;;H01M10/63;;H01M10/6561;;B64D37/005;;F28F27/02;;F28F2250/06;;H01M10/486;;H01M2220/20;;B64U50/19;;B64D27/33;;B64D27/357;;B64D27/34,H01M10/63;;B64D37/00;;F28F27/02;;H01M10/48;;H01M10/613;;H01M10/625;;H01M10/6561,,3,0,,,"Extended European Search Report dated Feb. 1, 2021, issued during the prosecution of European Patent Application No. EP 20181246.8, 13 pages.;;Extended European Search Report dated Sep. 8, 2020, issued during the prosecution of European Patent Application No. EP 20163920.0.;;Partial European Search Report dated Oct. 15, 2020, issued during the prosecution of European Patent Application No. EP 20181246.8.",ACTIVE
